FIPS,county,state,population,households,utility_gas_households,lat,lon
01001,Autauga,Alabama,58805,21559,7563,32.500194,-86.487813
01003,Baldwin,Alabama,231767,84047,8068,30.537396,-87.761478
01005,Barbour,Alabama,25223,9322,558,31.843981,-85.301306
01007,Bibb,Alabama,22293,7259,1793,33.032236,-87.136826
01009,Blount,Alabama,59134,21205,2453,33.954604,-86.592667
01011,Bullock,Alabama,10357,3429,293,32.115838,-85.702354
01013,Butler,Alabama,19051,6649,848,31.776019,-86.652400
01015,Calhoun,Alabama,116441,44572,13341,33.727215,-85.817974
01017,Chambers,Alabama,34772,13582,2128,32.856440,-85.259640
01019,Cherokee,Alabama,24971,10836,1562,34.180501,-85.629887
01021,Chilton,Alabama,45014,17140,1280,32.879146,-86.688861
01023,Choctaw,Alabama,12665,5330,254,32.016121,-88.262482
01025,Clarke,Alabama,23087,9323,2021,31.683493,-87.815868
01027,Clay,Alabama,14236,5153,1016,33.274342,-85.817245
01029,Cleburne,Alabama,15056,5835,450,33.625217,-85.495748
01031,Coffee,Alabama,53465,19951,1458,31.353217,-85.899556
01033,Colbert,Alabama,57227,21797,6257,34.724339,-87.681892
01035,Conecuh,Alabama,11597,4585,690,31.416430,-86.997537
01037,Coosa,Alabama,10387,4016,209,32.976884,-86.156212
01039,Covington,Alabama,37570,14995,2450,31.284146,-86.409203
01041,Crenshaw,Alabama,13194,5011,577,31.747324,-86.296787
01043,Cullman,Alabama,87866,31733,3243,34.162652,-86.832690
01045,Dale,Alabama,49326,19405,1752,31.383858,-85.637710
01047,Dallas,Alabama,38462,15409,6325,32.411818,-87.035342
01049,DeKalb,Alabama,71608,26365,3003,34.452725,-85.817465
01051,Elmore,Alabama,87977,29794,5367,32.558527,-86.225332
01053,Escambia,Alabama,36757,12931,1361,31.085439,-87.280078
01055,Etowah,Alabama,103436,38765,14102,34.012182,-86.025892
01057,Fayette,Alabama,16321,6805,1571,33.726912,-87.767490
